"","data_id","iso","event_id_cnty","event_id_no_cnty","event_date","year","time_precision","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","timestamp","iso3","timeseries"
"11",8394607,729,"SUD15359",15359,"19 July 2021",2021,2,"Violence against civilians","Attack","Unidentified Armed Group (Sudan)","Military Forces of Sudan (2019-) Rapid Support Forces",3,"Civilians (Sudan)","Farmers (Sudan); Refugees/IDPs (Sudan)",7,37,"Northern Africa","Sudan","South Darfur","Beliel",NA,"Bielel",11.9926,25.036,2,"Ayin Network","National","Around 19 July 2021 (as reported), a spate of attacks by unspecified attackers against farmers and returning IDPs was reported in Bielel locality (Beliel, South Darfur state), killing 'about' 7 people and wounding dozens. Two resettlement towns were also torched, including the town of Dashisha (no geographic information found), with RSF paramilitaries implicated in the burning of Dashisha.",7,1627328512,"SDN",2021-07-19
"12",8394545,729,"SUD15358",15358,"18 July 2021",2021,1,"Battles","Armed clash","SLM/A-Peace and Development: Sudan Liberation Movement/Army (Peace and Development Faction)",NA,3,"SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction)",NA,2,23,"Northern Africa","Sudan","North Darfur","Kebkabiya",NA,"Sortony",13.4509,24.3974,1,"Radio Dabanga; Darfur 24","National","On 18 July 2021, SLM/A-Nur rebels once again clashed with members of a splinter group (under the command of Sadiq al-Fakka, known as SLM/A Peace and Development) which is aligned to the government at Sortony camp (Kebkabiya locality, North Darfur state). 'About' 17 people were killed and 9 or 10 wounded (some seriously) during two days of fighting, who mostly appear to be IDPs, whilst shops were looted and houses torched. Shelling was also reported during the clashes, and an unspecified number were displaced by the violence. Note that one source says unspecified regular (government) forces were involved, but this is not confirmed at the present time. Fatalities distributed across two events.",8,1627328512,"SDN",2021-07-18
"13",8394584,729,"SUD15357",15357,"18 July 2021",2021,1,"Violence against civilians","Attack","Unidentified Armed Group (Sudan)",NA,3,"Civilians (Sudan)","Police Forces of Sudan (2019-)",7,37,"Northern Africa","Sudan","White Nile","Rabak",NA,"Rabak",13.1977,32.7343,2,"Al Rakoba","National","On 18 July 2021, unidentified gunmen shot and killed a police officer (assume off-duty) in Abdullah Al-Sheikh village (Rabak locality, White Nile state) [coded to Rabak].",1,1627328512,"SDN",2021-07-18
"14",8394755,729,"SUD15354",15354,"17 July 2021",2021,1,"Strategic developments","Looting/property destruction","Military Forces of Sudan (2019-) Rapid Support Forces","PDF: Popular Defence Forces",1,"Civilians (Sudan)","Labour Group (Sudan)",7,17,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Gardood Toro",10.7414,31.0074,2,"Hudo Centre","National","Looting: On 17 July 2021, about two hundred (200) armed people dressed in RSF and PDF paramilitaries uniforms invaded gold mine markets at Bajoun and Gardood Toro (Ghadeer locality, South Kordofan state). They looted the shops goods, other valuable items including money and smart phones from civilians. Suspected to be Dar Ali/ Hawazma.",0,1627328512,"SDN",2021-07-17
"15",8394544,729,"SUD15356",15356,"17 July 2021",2021,1,"Battles","Armed clash","SLM/A-Peace and Development: Sudan Liberation Movement/Army (Peace and Development Faction)",NA,3,"SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction)",NA,2,23,"Northern Africa","Sudan","North Darfur","Kebkabiya",NA,"Sortony",13.4509,24.3974,1,"Radio Dabanga; Darfur 24","National","On 17 July 2021, SLM/A-Nur rebels clashed with members of a splinter group (under the command of Sadiq al-Fakka, known as SLM/A Peace and Development) which is aligned to the government at Sortony camp (Kebkabiya locality, North Darfur state), after the pro-govt faction attacked the camp earlier that day. 'About' 17 people were killed and 9 or 10 wounded (some seriously) during two days of fighting, who mostly appear to be IDPs, whilst shops were looted and houses torched. Shelling was also reported during the clashes, and an unspecified number were displaced by the violence. Note that one source says unspecified regular (government) forces were involved, but this is not confirmed at the present time. Fatalities distributed across two events.",9,1627328512,"SDN",2021-07-17
"16",8394725,729,"SUD15355",15355,"17 July 2021",2021,1,"Battles","Armed clash","Nuer Ethnic Militia (South Sudan)","Refugees/IDPs (Sudan)",4,"Dinka Ethnic Militia (South Sudan)","Refugees/IDPs (Sudan)",4,44,"Northern Africa","Sudan","Khartoum","Jebel Awlia",NA,"Jabal Aulia",15.251,32.5214,1,"Eye Radio (South Sudan)","Regional","On 17 July 2021, members from the Nuer ethnic and Dinka ethnic clashed in a refugee camp in Jabal Aulia (Jebel Awlia locality, Khartoum state). One person was killed.",1,1627328512,"SDN",2021-07-17
"17",8394542,729,"SUD15351",15351,"16 July 2021",2021,1,"Violence against civilians","Attack","Darfur Communal Militia (Sudan)","Pastoralists (Sudan)",4,"Civilians (Sudan)",NA,7,47,"Northern Africa","Sudan","South Darfur","Gereida",NA,"Dakama",11.3955,25.1928,2,"Radio Dabanga; Democrat (Sudan)","National","On 16 July 2021, armed pastoralists fired upon rickshaws that were travelling to the market at Dito in the area of Dakama (Gereida, South Darfur state), killing one or two people. There is no clear motive for the attack.",1,1627328512,"SDN",2021-07-16
"18",8394543,729,"SUD15353",15353,"16 July 2021",2021,1,"Battles","Armed clash","Nuer Ethnic Militia (South Sudan)","Refugees/IDPs (Sudan)",4,"Dinka Ethnic Militia (South Sudan)","Refugees/IDPs (Sudan)",4,44,"Northern Africa","Sudan","Khartoum","Jebel Awlia",NA,"Jabal Aulia",15.251,32.5214,1,"Eye Radio (South Sudan); Al Rakoba","National-Regional","On 16 July 2021, members from the Nuer ethnic and Dinka ethnic clashed at the refugee camp in Jabal Aulia (Jebel Awlia locality, Khartoum state), in what appears to have been an escalation from an argument during a ceremony organized by Nuer refugees. Two people were killed.",2,1627328512,"SDN",2021-07-16
"19",8394853,729,"SUD15352",15352,"16 July 2021",2021,2,"Protests","Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,NA,NA,0,60,"Northern Africa","Sudan","Gedaref","Madeinat Al Gedaref",NA,"Gedaref",14.0479,35.3884,1,"Radio Dabanga","National","Around 16 July 2021 (as reported), Resistance Committee members organized demonstrations in Gedaref city (Madeinat Al Gedaref locality, Gedaref state), calling for the dismissal the Director General of Health and the resignation of the governor of Gedaref state, after more than hundred health workers resign in Gedaref. [size=no report]",0,1627328512,"SDN",2021-07-16
"20",8394541,729,"SUD15350",15350,"15 July 2021",2021,1,"Violence against civilians","Attack","Darfur Communal Militia (Sudan)","Pastoralists (Sudan)",4,"Civilians (Sudan)","Farmers (Sudan)",7,47,"Northern Africa","Sudan","South Darfur","Gereida",NA,"Moshrou",11.2501,25.0127,2,"Radio Dabanga; Democrat (Sudan)","National","On 15 July 2021, armed pastoralists attacked a farming community at Habouba village in Gereida locality (South Darfur state), described as being 15km west of Gereida town [coded to Moshrou], killing 3 and wounding 2. Agricultural produce and livestock were also stolen. The attack took the form of a pincer movement.",3,1627328512,"SDN",2021-07-15
"21",8385859,729,"SUD15347",15347,"15 July 2021",2021,1,"Battles","Armed clash","Military Forces of Sudan (2019-)",NA,1,"Military Forces of Ethiopia (2018-)",NA,8,18,"Northern Africa","Sudan","Gedaref","Al Qureisha",NA,"Jebel Abu Tiyour",13.8052,36.3434,2,"Sudan Tribune; Sky News","National-International","On 15 July 2021, SAF and SAF Reservists fought with unspecified Ethiopian armed forces (coded as ENDF pending further information) in the area of Jebel Abu Tiyour (Al Qureisha locality, Gedaref state). Sudanese sources report that Ethiopian forces suffered 'heavy losses' and were repulsed, although there is no specific information on the numbers killed or wounded. Unknown number of fatalities coded as 3.",3,1626727059,"SDN",2021-07-15
"22",8386157,729,"SUD15349",15349,"15 July 2021",2021,1,"Violence against civilians","Attack","Hawazmah-Dar Ali-Sub-Clan Militia (Sudan)","Baggara Ethnic Militia (Sudan)",4,"Civilians (Sudan)","Kawahala Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Kologi",10.8575,30.9839,1,"Hudo Centre","National","On 15 July 2021, Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) gathered from different areas and invaded Almajid neighborhood of Kologi town (Ghadeer locality, South Kordofan), and burnt many of houses belonging to Kawahala tribe while firing on air. The attack comes amid escalating violence involving the two groups. No fatalities and/or injuries reported.",0,1626727059,"SDN",2021-07-15
"23",8386159,729,"SUD15346",15346,"15 July 2021",2021,1,"Violence against civilians","Attack","Hawazmah-Dar Ali-Sub-Clan Militia (Sudan)","Baggara Ethnic Militia (Sudan)",4,"Civilians (Sudan)","Kawahala Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Gardood Toro",10.7414,31.0074,1,"Hudo Centre","National","On 15 July 2021, Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) shot and killed two civilians from the Kawahala tribe in Gardood Toro town (Ghadeer locality, South Kordofan). Three others were injured. The attack comes amid escalating violence involving the two groups.",2,1626727059,"SDN",2021-07-15
"24",8385907,729,"SUD15348",15348,"15 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)","Lawyers (Sudan)",6,NA,NA,0,60,"Northern Africa","Sudan","Khartoum","Khartoum",NA,"Khartoum",15.5725,32.5364,1,"Al Rakoba","National","On 15 July 2021, lawyers and the families of victims of the Ramadan massacre protested in front of the Public Prosecution office in Khartoum (Khartoum state). They demanded the resignation of the public prosecutor, after he was accused of preventing forensic investigators from Argentina from assisting Sudanese investigations into the killings. [size=no report]",0,1626727059,"SDN",2021-07-15
"25",8386057,729,"SUD15343",15343,"14 July 2021",2021,1,"Protests","Protest with intervention","Protesters (Sudan)","NCP: National Congress Party",6,"Police Forces of Sudan (2019-)",NA,1,16,"Northern Africa","Sudan","East Darfur","Ad Duayn",NA,"Ed Daein",11.4619,26.1258,1,"Darfur 24","National","On 14 July 2021, 'about ten' supporters of the disbanded NCP demonstrated at the market in Ed Daein city (Ad Duayn locality, East Darfur state), with police arresting four officials linked to the former regime who were present at the demonstration. [size=about 10]",0,1626727059,"SDN",2021-07-14
"26",8386158,729,"SUD15345",15345,"14 July 2021",2021,1,"Violence against civilians","Attack","Kawahala Ethnic Militia (Sudan)",NA,4,"Civilians (Sudan)","Hawazmah-Dar Ali-Sub-Clan Group (Sudan); Baggara Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Kologi",10.8575,30.9839,2,"Hudo Centre","National","On 14 July 2021, members of Kawahala ethnic militia attacked and burnt two houses belonging to Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) near Kologi town (Ghadeer locality, South Kordofan). Members of Kawahala tribe shifted (moved) their families from Kologi to Gadier. The attack comes amid escalating violence involving the two groups. No fatalities and/or injuries reported.",0,1626727059,"SDN",2021-07-14
"27",8385908,729,"SUD15344",15344,"14 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)","Labour Group (Sudan)",6,NA,NA,0,60,"Northern Africa","Sudan","Khartoum","Khartoum",NA,"Khartoum",15.5725,32.5364,1,"Al Rakoba","National","On 14 July 2021, employees of the Ministry of Culture protested demanding the dismissal of the Minister of Culture in Khartoum (Khartoum state), amid what they describe as an abrupt deterioration of the Ministry. [size=no report]",0,1626727059,"SDN",2021-07-14
"28",8386306,729,"SUD15338",15338,"13 July 2021",2021,2,"Protests","Peaceful protest","Protesters (Sudan)",NA,6,NA,NA,0,60,"Northern Africa","Sudan","Gedaref","Madeinat Al Gedaref",NA,"Gedaref",14.0479,35.3884,1,"Radio Dabanga","National","Around 13 July 2021 (as reported), activists held a peaceful protest in solidarity with the events of Red Sea state demanding peaceful coexistence between communities in Gedaref city (Madeinat Al Gedaref locality, Gedaref state). [size=no report]",0,1626727060,"SDN",2021-07-13
"29",8385857,729,"SUD15337",15337,"13 July 2021",2021,1,"Battles","Armed clash","Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-)",1,"Unidentified Armed Group (Sudan)",NA,3,13,"Northern Africa","Sudan","Northern","Delgo",NA,"Delgo",20.1228,30.5614,1,"Sudan Akhbar; Al Rakoba; Radio Dabanga","National","On 13 July 2021, mining police officers and armed forces (coded as SAF) clashed with an unidentified group at the market in Delgo town (Delgo locality, Northern state). One soldier was killed and three police officers were wounded. The armed group is described as both a group who signed the JPA and as an unspecified tribal group. They have previously been linked to violent behavior at Mount Abu Ghazaleh two weeks prior to the event.",1,1626727059,"SDN",2021-07-13
"30",8385858,729,"SUD15340",15340,"13 July 2021",2021,1,"Protests","Protest with intervention","Protesters (Sudan)","Street Traders (Sudan)",6,"Police Forces of Sudan (2019-)",NA,1,16,"Northern Africa","Sudan","Khartoum","Khartoum",NA,"Khartoum",15.5725,32.5364,1,"Sudan Akhbar; Alintibaha","National","On 13 July 2021, local street vendors protests against the authorities who launched campaigns against them to prevent them from practicing their activity along Jackson's street in Khartoum (Khartoum state). At least 17 people were arrested by police. [size=no report]",0,1626727059,"SDN",2021-07-13
"31",8386153,729,"SUD15341",15341,"13 July 2021",2021,1,"Violence against civilians","Attack","Kawahala Ethnic Militia (Sudan)",NA,4,"Civilians (Sudan)","Hawazmah-Dar Ali-Sub-Clan Group (Sudan); Baggara Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Kologi",10.8575,30.9839,1,"Hudo Centre","National","On 13 July 2021, members of Kawahala ethnic militia shot and killed a civilian belonging to the Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) at Gerami market of Kologi town (Ghadeer locality, South Kordofan). The attack comes amid escalating violence involving the two groups.",1,1626727059,"SDN",2021-07-13
"32",8386156,729,"SUD15342",15342,"13 July 2021",2021,1,"Violence against civilians","Attack","Hawazmah-Dar Ali-Sub-Clan Militia (Sudan)","Baggara Ethnic Militia (Sudan)",4,"Civilians (Sudan)","Kawahala Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Kologi",10.8575,30.9839,1,"Hudo Centre","National","On 13 July 2021, Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) shot and killed two civilians from the Kawahala tribe at Almajid neighborhood of Kologi town (Ghadeer locality, South Kordofan). The attack comes amid escalating violence involving the two groups.",1,1626727059,"SDN",2021-07-13
"33",8385916,729,"SUD15339",15339,"13 July 2021",2021,2,"Protests","Peaceful protest","Protesters (Sudan)",NA,6,NA,NA,0,60,"Northern Africa","Sudan","Khartoum","Khartoum",NA,"Khartoum",15.5725,32.5364,1,"Alnilin","National","Around 13 July 2021 (as reported), a number of expatriates demonstrated at the Ministry of Finance, denouncing the customs tariff for importing cars in in Khartoum (Khartoum state). This follows several similar demonstrations in recent months. [size=no report]",0,1626727059,"SDN",2021-07-13
"34",8386307,729,"SUD15335",15335,"12 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,NA,NA,0,60,"Northern Africa","Sudan","South Darfur","Nyala Janoub",NA,"Nyala",12.0556,24.8906,1,"Radio Dabanga","National","On 12 July 2021, Resistance Committees demonstrated in Nyala city (Nyala Janoub locality, South Darfur state), calling for the dismissal of the governor of the state. [size=no report]",0,1626727060,"SDN",2021-07-12
"35",8386311,729,"SUD15336",15336,"12 July 2021",2021,2,"Protests","Peaceful protest","Protesters (Sudan)",NA,6,NA,NA,0,60,"Northern Africa","Sudan","Red Sea","Port Sudan",NA,"Port Sudan",19.6148,37.2225,1,"Radio Dabanga","National","Around 12 July 2021 (as reported), demonstrators marched in Port Sudan (Port Sudan locality, Red Sea state), demanding that the state Security Committee and public prosecutor intervene to resolve recent acts of violent conflict in the city. [size=no report]",0,1626727060,"SDN",2021-07-12
"36",8386058,729,"SUD15333",15333,"12 July 2021",2021,2,"Riots","Violent demonstration","Rioters (Sudan)",NA,5,"Military Forces of Sudan (2019-)",NA,1,15,"Northern Africa","Sudan","West Darfur","Beida",NA,"Beida",12.7161,21.891,1,"Darfur 24","National","Around 12 July 2021 (as reported), a Native Administrator organized a demonstration in Beida town (Beida locality, West Darfur state) after humanitarian vehicles were accused of speeding in the streets of the town. SAF personnel intervened in the demonstration, and physically and verbally assaulted the Administrator. The assault resulted in clashes between the demonstrators and soldiers, with the demonstrators commandeering two military vehicles equipped with heavy machine guns, and seizing six assault rifles. Civilian authorities intervened and secured the return of the vehicles; the six assault rifles were not returned. [size=no report]",0,1626727059,"SDN",2021-07-12
"37",8386155,729,"SUD15334",15334,"12 July 2021",2021,1,"Violence against civilians","Attack","Kawahala Ethnic Militia (Sudan)",NA,4,"Civilians (Sudan)","Kawahala Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Kologi",10.8575,30.9839,2,"Hudo Centre","National","On 12 July 2021, Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) assaulted a tractor driver from Kawahala tribe, after they confiscated his tractor. The event occurred Alshabaka close to Kologi town (Ghadeer locality, South Kordofan state). The tractor was retrieved by the victim's ethnic kin.",0,1626727059,"SDN",2021-07-12
"38",8386308,729,"SUD15332",15332,"11 July 2021",2021,1,"Violence against civilians","Attack","Unidentified Armed Group (Sudan)",NA,3,"Civilians (Sudan)",NA,7,37,"Northern Africa","Sudan","Central Darfur","Gharb Jabal Marrah",NA,"Komong",13.0133,24.0324,2,"Radio Dabanga","National","On 11 July 2021, unknown gunmen shot a civilian at an unspecified location described as being 10km north of Nertiti town (Gharb Jabal Marrah locality, Central Darfur state) [coded to Komong]. The victim was wounded in the back, and taken to hospital. There is no clear motivation for the attack.",0,1626727060,"SDN",2021-07-11
"39",8386436,729,"SUD15331",15331,"11 July 2021",2021,1,"Battles","Armed clash","Amhara Ethnic Militia (Ethiopia)","Military Forces of Ethiopia (2018-)",4,"Military Forces of Sudan (2019-)",NA,1,14,"Northern Africa","Sudan","Gedaref","Basundah",NA,"Haskanet",12.761,35.8622,2,"Sudan Tribune","National","On 11 July 2021, Amhara militia and unspecified Ethiopian soldiers (provisionally coded as ENDF) crossed into Basundah locality (Gedaref state), implied to be in the areas of Haskanet and Umm Diblo in the southern part of the locality close to the disputed border [coded to Haskanet]. The militia were repulsed by SAF and SAF Reservists; there is no information regarding casualties or fatalities.",0,1626727060,"SDN",2021-07-11
"40",8385854,729,"SUD15326",15326,"10 July 2021",2021,1,"Protests","Protest with intervention","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)",NA,1,16,"Northern Africa","Sudan","Gedaref","Madeinat Al Gedaref",NA,"Gedaref",14.0479,35.3884,1,"Democrat (Sudan); Sudan Akhbar","National","On 10 July 2021, demonstrators (including Resistance Committee members) gathered at the Governor's residence in Gedaref city (Madeinat Al Gedaref locality, Gedaref state), calling for his dismissal amid a collapse of the health system in the state, following mass resignations of doctors, shortages of essential medical provisions and drugs, and the failure to treat kidney patients. Police beat a senior member of the Gedaref city Resistance Committee at the demonstration. [size=no report]",0,1626727059,"SDN",2021-07-10
"41",8385855,729,"SUD15328",15328,"10 July 2021",2021,1,"Violence against civilians","Attack","Unidentified Armed Group (Sudan)",NA,3,"Civilians (Sudan)",NA,7,37,"Northern Africa","Sudan","Red Sea","Port Sudan",NA,"Port Sudan",19.6148,37.2225,1,"Al Sudani; Sudan Tribune","National","On 10 July 2021, unidentified gunmen threw two hand grenades at Prince's Sports Club in the Salbouna area in Port Sudan (Port Sudan locality, Red Sea state). Three people were killed by the grenade, with a fourth dying of their injuries on 13 July. A woman was also killed by the attackers as they fled the scene. The violence comes amid increasing turbulence in the city, in light of recent clashes between the Beni Amir and Nuba groups.",5,1626727059,"SDN",2021-07-10
"42",8385856,729,"SUD15329",15329,"10 July 2021",2021,1,"Violence against civilians","Attack","Unidentified Armed Group (Sudan)",NA,3,"Civilians (Sudan)",NA,7,37,"Northern Africa","Sudan","Red Sea","Port Sudan",NA,"Port Sudan",19.6148,37.2225,1,"Democrat (Sudan); Alintibaha","National","On 10 July 2021, an elderly man was executed by unknown attackers whilst travelling on a bus in Port Sudan (Port Sudan locality, Red Sea state) and his body dumped on the road, amid violence between Beni Amir and Nuba groups in recent days. Two more people were injured later in the day by unknown gunmen and two vehicles were torched, during the funeral procession for the victim. Note that one source describes the incident as coming from a brawl that took place on the bus, though the event is provisionally coded as an attack pending further information.",1,1626727059,"SDN",2021-07-10
"43",8386160,729,"SUD15327",15327,"10 July 2021",2021,1,"Violence against civilians","Attack","Hawazmah-Dar Ali-Sub-Clan Militia (Sudan)","Baggara Ethnic Militia (Sudan); Pastoralists (Sudan)",4,"Civilians (Sudan)","Kawahala Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Khor el Waja",10.7648,31.2211,2,"Hudo Centre","National","On 10 July 2021, a suspected Dar Ali section of the Hawazmah clan (of the Baggara ethnic group) shot and killed two civilians from Kawahala ethnic group traveling from Gadier to Kao at an unspecified location (Ghadeer locality, South Kordofan state) [coded to Khor el Waja]. The attack comes amid escalating violence involving the two groups.",2,1626727059,"SDN",2021-07-10
"44",8385915,729,"SUD15330",15330,"10 July 2021",2021,1,"Protests","Protest with intervention","Protesters (Sudan)",NA,6,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-)",1,16,"Northern Africa","Sudan","Red Sea","Port Sudan",NA,"Port Sudan",19.6148,37.2225,1,"Alintibaha","National","On 10 July 2021, demonstrators gathered in Port Sudan (Port Sudan locality, Red Sea state) and blocked the road to the airport (through unspecified means), to denounce attacks in the city earlier that day that resulted in one death and two injuries. Unspecified joint forces (coded as police and army) dispersed the demonstrators. [size=no report]",0,1626727059,"SDN",2021-07-10
